0.0°	27.91	29.91	32.18	32.18	29.91	27.91	27.91	29.91	32.18	32.18	29.91	27.91
0.5°	27.81	29.83	32.15	32.21	29.99	28.01	28.01	29.99	32.21	32.15	29.83	27.81
1.0°	27.71	29.74	32.11	32.25	30.07	28.11	28.11	30.07	32.25	32.11	29.74	27.71
1.5°	27.61	29.66	32.08	32.28	30.15	28.22	28.22	30.15	32.28	32.08	29.66	27.61
2.0°	27.51	29.58	32.05	32.31	30.24	28.32	28.32	30.24	32.31	32.05	29.58	27.51
2.5°	27.40	29.50	32.01	32.35	30.32	28.42	28.42	30.32	32.35	32.01	29.50	27.40
3.0°	27.30	29.42	31.98	32.38	30.40	28.52	28.52	30.40	32.38	31.98	29.42	27.30
3.5°	27.20	29.33	31.95	32.41	30.48	28.62	28.62	30.48	32.41	31.95	29.33	27.20
4.0°	27.10	29.25	31.91	32.45	30.57	28.72	28.72	30.57	32.45	31.91	29.25	27.10
4.5°	27.00	29.17	31.88	32.48	30.65	28.83	28.83	30.65	32.48	31.88	29.17	27.00
5.0°	26.89	29.09	31.85	32.51	30.73	28.93	28.93	30.73	32.51	31.85	29.09	26.89
5.5°	26.79	29.00	31.81	32.55	30.81	29.03	29.03	30.81	32.55	31.81	29.00	26.79
6.0°	26.69	28.92	31.78	32.58	30.90	29.13	29.13	30.90	32.58	31.78	28.92	26.69
6.5°	26.59	28.84	31.75	32.62	30.98	29.24	29.24	30.98	32.62	31.75	28.84	26.59
7.0°	26.48	28.75	31.71	32.65	31.06	29.34	29.34	31.06	32.65	31.71	28.75	26.48
7.5°	26.38	28.67	31.68	32.68	31.15	29.44	29.44	31.15	32.68	31.68	28.67	26.38
8.0°	26.28	28.59	31.64	32.72	31.23	29.55	29.55	31.23	32.72	31.64	28.59	26.28
8.5°	26.17	28.50	31.61	32.75	31.31	29.65	29.65	31.31	32.75	31.61	28.50	26.17
9.0°	26.07	28.42	31.58	32.79	31.40	29.75	29.75	31.40	32.79	31.58	28.42	26.07
9.5°	25.97	28.33	31.54	32.82	31.48	29.86	29.86	31.48	32.82	31.54	28.33	25.97
10.0°	25.86	28.25	31.51	32.86	31.57	29.96	29.96	31.57	32.86	31.51	28.25	25.86
10.5°	25.76	28.16	31.47	32.89	31.65	30.07	30.07	31.65	32.89	31.47	28.16	25.76
11.0°	25.65	28.08	31.44	32.92	31.74	30.17	30.17	31.74	32.92	31.44	28.08	25.65
11.5°	25.55	27.99	31.40	32.96	31.82	30.28	30.28	31.82	32.96	31.40	27.99	25.55
12.0°	25.44	27.91	31.37	32.99	31.91	30.38	30.38	31.91	32.99	31.37	27.91	25.44
12.5°	25.33	27.82	31.33	33.03	32.00	30.49	30.49	32.00	33.03	31.33	27.82	25.33
13.0°	25.23	27.73	31.30	33.07	32.08	30.60	30.60	32.08	33.07	31.30	27.73	25.23
13.5°	25.12	27.65	31.26	33.10	32.17	30.70	30.70	32.17	33.10	31.26	27.65	25.12
14.0°	25.01	27.56	31.22	33.14	32.26	30.81	30.81	32.26	33.14	31.22	27.56	25.01
14.5°	24.90	27.47	31.19	33.17	32.34	30.92	30.92	32.34	33.17	31.19	27.47	24.90
15.0°	24.79	27.38	31.15	33.21	32.43	31.03	31.03	32.43	33.21	31.15	27.38	24.79
15.5°	24.69	27.29	31.12	33.25	32.52	31.14	31.14	32.52	33.25	31.12	27.29	24.69
16.0°	24.58	27.20	31.08	33.28	32.61	31.25	31.25	32.61	33.28	31.08	27.20	24.58
16.5°	24.47	27.12	31.04	33.32	32.70	31.36	31.36	32.70	33.32	31.04	27.12	24.47
17.0°	24.35	27.02	31.01	33.36	32.79	31.47	31.47	32.79	33.36	31.01	27.02	24.35
17.5°	24.24	26.93	30.97	33.39	32.88	31.58	31.58	32.88	33.39	30.97	26.93	24.24
18.0°	24.13	26.84	30.93	33.43	32.97	31.69	31.69	32.97	33.43	30.93	26.84	24.13
18.5°	24.02	26.75	30.89	33.47	33.07	31.80	31.80	33.07	33.47	30.89	26.75	24.02
19.0°	23.90	26.66	30.85	33.51	33.16	31.92	31.92	33.16	33.51	30.85	26.66	23.90
19.5°	23.79	26.56	30.82	33.55	33.25	32.03	32.03	33.25	33.55	30.82	26.56	23.79
20.0°	23.68	26.47	30.78	33.58	33.35	32.15	32.15	33.35	33.58	30.78	26.47	23.68
20.5°	23.56	26.37	30.74	33.62	33.44	32.26	32.26	33.44	33.62	30.74	26.37	23.56
21.0°	23.44	26.28	30.70	33.66	33.54	32.38	32.38	33.54	33.66	30.70	26.28	23.44
21.5°	23.33	26.18	30.66	33.70	33.63	32.50	32.50	33.63	33.70	30.66	26.18	23.33
22.0°	23.21	26.09	30.62	33.74	33.73	32.61	32.61	33.73	33.74	30.62	26.09	23.21
22.5°	23.09	25.99	30.58	33.78	33.83	32.73	32.73	33.83	33.78	30.58	25.99	23.09
23.0°	22.97	25.89	30.54	33.82	33.93	32.85	32.85	33.93	33.82	30.54	25.89	22.97
23.5°	22.85	25.79	30.50	33.87	34.03	32.97	32.97	34.03	33.87	30.50	25.79	22.85
24.0°	22.73	25.69	30.45	33.91	34.13	33.09	33.09	34.13	33.91	30.45	25.69	22.73
24.5°	22.61	25.59	30.41	33.95	34.23	33.22	33.22	34.23	33.95	30.41	25.59	22.61
25.0°	22.48	25.49	30.37	33.99	34.33	33.34	33.34	34.33	33.99	30.37	25.49	22.48
25.5°	22.36	25.38	30.33	34.03	34.43	33.47	33.47	34.43	34.03	30.33	25.38	22.36
26.0°	22.23	25.28	30.28	34.08	34.54	33.59	33.59	34.54	34.08	30.28	25.28	22.23
26.5°	22.10	25.17	30.24	34.12	34.64	33.72	33.72	34.64	34.12	30.24	25.17	22.10
27.0°	21.98	25.07	30.19	34.17	34.75	33.85	33.85	34.75	34.17	30.19	25.07	21.98
27.5°	21.85	24.96	30.15	34.21	34.86	33.97	33.97	34.86	34.21	30.15	24.96	21.85
28.0°	21.72	24.85	30.10	34.26	34.96	34.10	34.10	34.96	34.26	30.10	24.85	21.72
28.5°	21.59	24.74	30.06	34.30	35.07	34.24	34.24	35.07	34.30	30.06	24.74	21.59
29.0°	21.45	24.63	30.01	34.35	35.18	34.37	34.37	35.18	34.35	30.01	24.63	21.45
29.5°	21.32	24.52	29.96	34.40	35.30	34.50	34.50	35.30	34.40	29.96	24.52	21.32
30.0°	21.18	24.41	29.92	34.45	35.41	34.64	34.64	35.41	34.45	29.92	24.41	21.18
30.5°	21.05	24.29	29.87	34.49	35.52	34.78	34.78	35.52	34.49	29.87	24.29	21.05
31.0°	20.91	24.18	29.82	34.54	35.64	34.91	34.91	35.64	34.54	29.82	24.18	20.91
31.5°	20.77	24.06	29.77	34.59	35.76	35.05	35.05	35.76	34.59	29.77	24.06	20.77
32.0°	20.63	23.94	29.72	34.64	35.88	35.20	35.20	35.88	34.64	29.72	23.94	20.63
32.5°	20.48	23.82	29.67	34.69	36.00	35.34	35.34	36.00	34.69	29.67	23.82	20.48
33.0°	20.34	23.70	29.61	34.75	36.12	35.48	35.48	36.12	34.75	29.61	23.70	20.34
33.5°	20.19	23.57	29.56	34.80	36.24	35.63	35.63	36.24	34.80	29.56	23.57	20.19
34.0°	20.04	23.45	29.51	34.85	36.37	35.78	35.78	36.37	34.85	29.51	23.45	20.04
34.5°	19.89	23.32	29.45	34.91	36.50	35.93	35.93	36.50	34.91	29.45	23.32	19.89
35.0°	19.74	23.19	29.40	34.96	36.63	36.08	36.08	36.63	34.96	29.40	23.19	19.74
35.5°	19.59	23.06	29.34	35.02	36.76	36.23	36.23	36.76	35.02	29.34	23.06	19.59
36.0°	19.43	22.93	29.28	35.08	36.89	36.39	36.39	36.89	35.08	29.28	22.93	19.43
36.5°	19.28	22.79	29.22	35.14	37.03	36.55	36.55	37.03	35.14	29.22	22.79	19.28
37.0°	19.12	22.65	29.16	35.20	37.16	36.71	36.71	37.16	35.20	29.16	22.65	19.12
37.5°	18.95	22.51	29.10	35.26	37.30	36.87	36.87	37.30	35.26	29.10	22.51	18.95
38.0°	18.79	22.37	29.04	35.32	37.44	37.03	37.03	37.44	35.32	29.04	22.37	18.79
38.5°	18.62	22.23	28.98	35.38	37.59	37.20	37.20	37.59	35.38	28.98	22.23	18.62
39.0°	18.45	22.08	28.91	35.45	37.73	37.37	37.37	37.73	35.45	28.91	22.08	18.45
39.5°	18.28	21.93	28.85	35.51	37.88	37.54	37.54	37.88	35.51	28.85	21.93	18.28
40.0°	18.11	21.78	28.78	35.58	38.04	37.71	37.71	38.04	35.58	28.78	21.78	18.11
40.5°	17.93	21.63	28.71	35.65	38.19	37.89	37.89	38.19	35.65	28.71	21.63	17.93
41.0°	17.75	21.47	28.64	35.72	38.35	38.07	38.07	38.35	35.72	28.64	21.47	17.75
41.5°	17.57	21.31	28.57	35.79	38.51	38.25	38.25	38.51	35.79	28.57	21.31	17.57
42.0°	17.38	21.15	28.50	35.86	38.67	38.44	38.44	38.67	35.86	28.50	21.15	17.38
42.5°	17.20	20.98	28.42	35.94	38.84	38.63	38.63	38.84	35.94	28.42	20.98	17.20
43.0°	17.00	20.81	28.34	36.02	39.01	38.82	38.82	39.01	36.02	28.34	20.81	17.00
43.5°	16.81	20.64	28.27	36.10	39.18	39.01	39.01	39.18	36.10	28.27	20.64	16.81
44.0°	16.61	20.46	28.18	36.18	39.36	39.21	39.21	39.36	36.18	28.18	20.46	16.61
44.5°	16.41	20.28	28.10	36.26	39.54	39.41	39.41	39.54	36.26	28.10	20.28	16.41
45.0°	16.20	20.09	28.02	36.35	39.72	39.62	39.62	39.72	36.35	28.02	20.09	16.20
45.5°	15.99	19.90	27.93	36.43	39.91	39.83	39.83	39.91	36.43	27.93	19.90	15.99
